2018rank,City,State,2018estimate,2010Census,2016 land area (sq mi),2016 population density (sq mi),Zhvi,Median Income,Cost Score,Cost Rank
202,Warren,Michigan,134587,134056,34.4,3928.0,137900,54909.0,2.5114279990529784,260.0
203,Hampton,Virginia,134313,137436,51.5,2629.0,165700,71535.0,2.3163486405256166,274.0
204,Gainesville,Florida,133857,124354,62.3,2112.0,183800,52594.0,3.4946952123816404,199.0
205,Visalia,California,133800,124442,37.5,3495.0,240200,71805.0,3.3451709490982524,211.0
206,Coral Springs,Florida,133507,121096,23.8,5465.0,358500,52594.0,6.816366885956573,63.0
207,Columbia,South Carolina,133451,129272,133.5,1006.0,134000,50570.0,2.6497923670160173,251.0
208,Cedar Rapids,Iowa,133174,126326,70.8,1852.0,133400,58570.0,2.2776165272323716,281.0
209,Sterling Heights,Michigan,132964,129699,36.5,3628.0,208100,54909.0,3.789906936932015,182.0
210,New Haven,Connecticut,130418,129779,18.7,6948.0,172100,74168.0,2.320407723007227,273.0
211,Stamford,Connecticut,129775,122643,37.6,3434.0,288000,74168.0,3.8830762593032033,178.0
212,Concord,California,129688,122067,30.5,4221.0,593300,71805.0,8.262655803913377,38.0
213,Kent,Washington,129618,92411,33.7,3784.0,384300,70979.0,5.414277462348019,109.0
214,Santa Clara,California,129488,116468,18.4,6845.0,1305100,71805.0,18.175614511524266,4.0
215,Elizabeth,New Jersey,128885,124969,12.3,10459.0,293100,80088.0,3.659724303266407,189.0
216,Round Rock,Texas,128739,99887,35.6,3396.0,278600,59206.0,4.705604161740364,133.0
217,Thousand Oaks,California,127690,126683,55.2,2335.0,732300,71805.0,10.198454146647169,23.0
218,Lafayette,Louisiana,126143,120623,53.8,2372.0,157500,46145.0,3.4131541878860117,204.0
219,Athens,Georgia,125964,115452,116.4,1060.0,177800,56183.0,3.1646583486107898,225.0
220,Topeka,Kansas,125904,127473,61.5,2062.0,112200,56422.0,1.9885860125482968,295.0
221,Simi Valley,California,125851,124237,41.5,3044.0,582000,71805.0,8.105285147273866,39.0
222,Fargo,North Dakota,124844,105549,49.3,2450.0,224000,61843.0,3.6220752550814157,192.0
223,Norman,Oklahoma,123471,110925,178.8,683.0,165700,50051.0,3.3106231643723403,216.0
224,Columbia,Missouri,123180,108500,65.0,1856.0,180400,53578.0,3.367053641419986,209.0
225,Abilene,Texas,122999,117063,106.7,1146.0,125700,59206.0,2.123095632199439,289.0
226,Wilmington,North Carolina,122607,106476,51.6,2278.0,227800,52752.0,4.318319684561723,157.0
227,Hartford,Connecticut,122587,124775,17.4,7083.0,127700,74168.0,1.7217667996979829,299.0
228,Victorville,California,122312,115903,73.3,1668.0,254900,71805.0,3.5498920687974374,197.0
229,Pearland,Texas,122149,91252,46.3,2453.0,265100,59206.0,4.477586731074553,148.0
230,Vallejo,California,121913,115942,30.7,3951.0,420400,71805.0,5.854745491261054,95.0
231,Ann Arbor,Michigan,121890,113934,28.1,4298.0,382700,54909.0,6.969713526015772,61.0
232,Berkeley,California,121643,112580,10.5,11547.0,1217700,71805.0,16.95842907875496,5.0
233,Allentown,Pennsylvania,121433,118032,17.5,6882.0,135400,59195.0,2.2873553509586957,277.0
234,Richardson,Texas,120981,99223,28.6,3963.0,315000,59206.0,5.320406715535587,114.0
235,Odessa,Texas,120568,99940,45.2,2608.0,173000,59206.0,2.9220011485322432,242.0
236,Arvada,Colorado,120492,106433,38.6,3043.0,414600,69117.0,5.998524241503538,86.0
237,Cambridge,Massachusetts,118977,105162,6.4,17289.0,802900,77385.0,10.375395748530076,21.0
238,Sugar Land,Texas,118600,78817,34.0,3488.0,306400,59206.0,5.175151167111442,121.0
239,Beaumont,Texas,118428,118296,82.1,1441.0,109900,59206.0,1.856230787420194,296.0
240,Lansing,Michigan,118427,114297,39.1,2967.0,87600,54909.0,1.5953668797464897,303.0
241,Evansville,Indiana,117963,117429,47.3,2526.0,120600,54181.0,2.2258725383436997,284.0
242,Rochester,Minnesota,116961,106769,54.6,2088.0,225100,68388.0,3.2915131309586476,219.0
243,Independence,Missouri,116925,116830,77.8,1504.0,121900,53578.0,2.2751875769905556,282.0
244,Fairfield,California,116884,105321,40.9,2806.0,455000,71805.0,6.336606085927164,74.0
245,Provo,Utah,116702,112488,41.7,2803.0,306400,68358.0,4.482284443664239,147.0
246,Clearwater,Florida,116478,107685,25.9,4415.0,209800,52594.0,3.989048180400806,175.0
247,College Station,Texas,116218,93857,51.0,2199.0,242400,59206.0,4.094179643955004,170.0
248,West Jordan,Utah,116046,103712,32.3,3520.0,355200,68358.0,5.196173088738699,120.0
249,Carlsbad,California,115877,105328,37.7,3023.0,861100,71805.0,11.992201100201935,11.0
250,El Monte,California,115586,113475,9.6,12063.0,516200,71805.0,7.188914421001323,55.0
251,Murrieta,California,114985,103466,33.6,3324.0,439000,71805.0,6.113780377411044,83.0
252,Temecula,California,114742,100097,37.3,3031.0,473800,71805.0,6.598426293433605,68.0
253,Springfield,Illinois,114694,116250,60.1,1925.0,106400,62992.0,1.6891033782067564,300.0
254,Palm Bay,Florida,114194,103190,65.7,1676.0,179600,52594.0,3.4148381944708524,203.0
255,Costa Mesa,California,113615,109960,15.7,7186.0,806400,71805.0,11.230415709212451,18.0
256,Westminster,Colorado,113479,106114,31.7,3592.0,371900,69117.0,5.380731223866777,110.0
257,North Charleston,South Carolina,113237,97471,73.7,1483.0,170900,50570.0,3.3794739964405776,206.0
258,Miami Gardens,Florida,113069,107167,18.2,6212.0,256800,52594.0,4.882686237973913,126.0
259,Manchester,New Hampshire,112525,109565,33.1,3339.0,240400,73381.0,3.2760523841321323,220.0
260,High Point,North Carolina,112316,104371,55.2,2015.0,125800,52752.0,2.384743706399757,271.0
261,Downey,California,112269,111772,12.4,9134.0,570300,71805.0,7.942343847921454,42.0
262,Clovis,California,112022,95631,24.2,4404.0,342800,71805.0,4.774040804957872,129.0
263,Pompano Beach,Florida,111954,99845,24.0,4558.0,214900,52594.0,4.086017416435335,171.0
264,Pueblo,Colorado,111750,106595,53.6,2058.0,168900,69117.0,2.4436824514952904,264.0
265,Elgin,Illinois,111683,108188,37.4,2998.0,191800,62992.0,3.0448310896621793,235.0
266,Lowell,Massachusetts,111670,106519,13.6,8129.0,286600,77385.0,3.703560121470569,187.0
267,Antioch,California,111535,102372,29.4,3772.0,446400,71805.0,6.216837267599749,80.0
268,West Palm Beach,Florida,111398,99919,55.1,1963.0,237600,52594.0,4.517625584667453,144.0
269,Peoria,Illinois,111388,115007,48.2,2371.0,87700,62992.0,1.392240284480569,309.0
270,Everett,Washington,111262,103019,33.3,3275.0,379600,70979.0,5.348060694008087,113.0
